Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
1260	-1410.739	-1494.666	83.92726	0.4057629	0.6287403	0.347435	0.652565	1.912218
1266	-1408.45	-1492.435	83.9851	0.4523599	0.4650323	0.535379	0.464621	2.013403
1272	-1410.545	-1494.994	84.44956	0.5836373	0.4852206	0.458911	0.541089	1.575669
1278	-1409.498	-1493.848	84.35066	0.564335	0.5510374	0.408609	0.591391	1.58443
1284	-1404.552	-1488.614	84.06191	0.6854938	0.6607805	0.461611	0.538389	1.590932
1290	-1412.177	-1496.273	84.09568	0.6061972	0.7750355	0.620819	0.379181	1.516749
1296	-1411.36	-1495.533	84.17313	0.4285172	0.4508135	0.431706	0.568294	1.920074
1302	-1407.892	-1492.334	84.44105	0.426634	0.5997117	0.494511	0.505489	1.56566
1308	-1408.22	-1492.808	84.58762	0.5019866	0.5936525	0.424187	0.575813	1.404977
1314	-1415.035	-1499.17	84.13529	0.5179011	0.5736265	0.54749	0.45251	1.746964
1320	-1418.714	-1502.722	84.00749	0.3995215	0.6273011	0.560155	0.439845	1.863273
1326	-1412.741	-1496.811	84.06949	0.469979	0.5752884	0.445012	0.554988	1.824211
1332	-1411.802	-1496.309	84.50747	0.537707	0.6433133	0.432081	0.567919	1.384527
1338	-1411.557	-1495.745	84.18789	0.6746612	0.7695103	0.515639	0.484361	1.399541
1344	-1414.796	-1499.439	84.64218	0.6747239	0.6600165	0.527169	0.472831	1.140098
1350	-1408.627	-1492.718	84.09129	0.6551434	0.7508372	0.484523	0.515477	1.505551
1356	-1412.012	-1496.498	84.48595	0.5411809	0.5475202	0.433582	0.566418	1.505551
1362	-1414.713	-1499.292	84.57976	0.6088292	0.5253477	0.478957	0.521043	1.409204
1368	-1424.809	-1508.553	83.7439	0.4148017	0.6617317	0.491447	0.508553	1.998733
1374	-1422.428	-1506.605	84.17769	0.5767214	0.6655588	0.401725	0.598275	1.581091
1380	-1424.511	-1508.652	84.14063	0.7022362	0.6486576	0.541833	0.458167	1.532898
1386	-1412.231	-1496.337	84.10674	0.5649461	0.6486576	0.50902	0.49098	1.657591
1392	-1418.72	-1502.7	83.98023	0.4083038	0.4169453	0.397644	0.602356	2.103027
