Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
1440	-627.9613	-791.7087	163.7475	4.763473	4.762984	1.875828
1446	-631.5906	-796.4639	164.8733	2.803185	4.712557	1.971699
1452	-640.2348	-804.356	164.1212	5.183966	4.712557	1.488388
1458	-635.5154	-797.4166	161.9012	4.982673	7.146937	1.403966
1464	-641.2631	-804.4576	163.1945	4.41744	5.91938	1.585039
1470	-642.8698	-805.2388	162.369	5.580502	5.988599	1.691563
1476	-645.3749	-807.6628	162.2879	7.198059	5.507871	1.574302
1482	-635.4388	-799.9969	164.5581	3.786472	4.208673	2.08012
1488	-657.4639	-821.4441	163.9803	4.638811	4.761526	1.76289
1494	-651.9117	-816.3079	164.3962	3.201113	5.209818	1.767872
1500	-651.4149	-816.3857	164.9708	2.612877	4.667706	2.030139
1506	-656.5862	-820.0202	163.434	4.194784	5.643495	1.702644
1512	-648.5827	-813.0872	164.5045	3.816943	4.181247	2.120978
1518	-637.2217	-802.2862	165.0646	2.889796	3.63171	2.505076
1524	-636.8733	-802.0168	165.1435	2.512699	3.311001	2.825321
1530	-636.6905	-801.7417	165.0512	3.749389	3.1327	2.468612
1536	-638.5058	-804.9602	166.4544	2.21554	3.347531	2.126509
1542	-641.0304	-804.9075	163.877	4.111969	5.005525	1.871548
1548	-635.3127	-800.5929	165.2802	3.259705	4.197982	1.829116
1554	-639.337	-804.1694	164.8324	3.183767	4.367699	2.050985
1560	-647.5484	-811.4707	163.9224	4.208106	4.703635	2.006647
1566	-640.9822	-805.1714	164.1892	4.116687	4.573487	1.950829
1572	-639.0442	-803.3275	164.2833	4.069356	4.076098	2.234229
1578	-653.7783	-818.0453	164.2671	4.703126	3.807639	2.186643
1584	-652.6682	-816.633	163.9648	3.801285	3.721264	2.756699
1590	-638.7848	-802.747	163.9623	5.431846	4.141632	1.917674
1596	-641.1469	-805.6617	164.5147	3.521986	4.810321	1.816228
1602	-639.9232	-804.654	164.7307	3.34148	4.872944	1.703657
1608	-639.3474	-803.7189	164.3715	5.103912	3.857003	1.945417
1614	-640.1927	-804.7586	164.5659	3.29371	5.078877	1.696999
1620	-640.535	-805.3875	164.8526	3.623308	4.472797	1.771306
1626	-644.2876	-808.2486	163.961	3.86235	4.833413	2.031136
1632	-624.3743	-788.1389	163.7646	4.949484	4.011625	2.294149
1638	-637.6632	-802.1686	164.5054	3.12662	4.218766	2.383537
1644	-647.2374	-810.1493	162.9119	4.262211	5.831236	1.907036
1650	-639.551	-802.3808	162.8298	4.9708	5.729502	1.766307
1656	-646.0592	-810.0684	164.0092	4.272336	4.82141	1.843417
1662	-651.6968	-816.3303	164.6336	2.591338	5.100196	1.977452
1668	-639.6793	-804.404	164.7247	3.118992	4.630079	1.977452
1674	-632.4504	-797.6987	165.2483	2.576064	4.253211	2.138459
1680	-626.1517	-790.8287	164.6771	3.729783	4.995383	1.471836
1686	-620.5897	-784.5795	163.9898	3.534429	5.307203	1.830065
1692	-624.3215	-789.3439	165.0224	3.314265	4.533863	1.749672
1698	-627.6053	-792.9507	165.3454	2.394323	4.234561	2.178341
1704	-633.7124	-798.2395	164.5272	2.810845	5.0344	1.984245
1710	-634.722	-798.8654	164.1435	3.712558	4.982166	1.870427
1716	-635.3021	-800.1856	164.8836	2.667531	4.951588	1.870427
1722	-644.6422	-807.8898	163.2477	4.032808	5.683277	1.870427
1728	-629.1494	-793.4504	164.3011	4.345628	4.225254	2.020482
1734	-620.654	-785.35	164.6959	3.558067	3.870499	2.30264
