Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
1560	-90.18459	-261.5794	171.3948	1.725016	1.194671
1566	-97.09276	-268.3314	171.2387	1.866795	1.206944
1572	-99.79851	-270.9493	171.1507	1.603443	1.486888
1578	-106.4802	-276.7416	170.2614	2.669552	1.350357
1584	-99.21852	-270.1837	170.9652	2.308432	1.056111
1590	-97.17102	-267.9964	170.8254	1.555208	1.757191
1596	-92.39497	-263.3931	170.9981	1.26222	1.840491
1602	-84.09017	-255.0989	171.0087	1.956223	1.323204
1608	-75.48825	-246.7675	171.2793	1.501196	1.467009
1614	-80.33189	-250.8369	170.505	2.175461	1.541914
1620	-83.08639	-253.8995	170.8131	1.441862	1.844176
1626	-75.98255	-247.1409	171.1584	2.177488	0.9954254
1632	-81.98742	-253.4618	171.4744	1.372478	1.416211
1638	-85.06817	-256.0886	171.0205	1.372478	1.748576
1644	-77.78077	-249.222	171.4412	1.055826	1.675017
1650	-81.08117	-252.2642	171.183	1.314036	1.675017
1656	-81.57953	-252.0966	170.5171	2.389701	1.369482
1662	-82.30059	-251.8877	169.5871	3.575389	1.15753
1668	-92.925	-263.5624	170.6374	1.543223	1.894905
1674	-95.70438	-267.0745	171.3701	1.580047	1.335037
1680	-89.53734	-260.2293	170.692	1.987726	1.54248
1686	-107.494	-278.8726	171.3786	1.715955	1.216254
1692	-92.716	-263.4066	170.6906	2.536172	1.099875
1698	-94.50982	-265.6897	171.1799	2.164364	0.9869298
1704	-87.29219	-257.8205	170.5283	2.631364	1.160036
1710	-83.09069	-253.4467	170.356	2.617854	1.315987
1716	-81.88464	-252.8519	170.9673	2.474495	0.8819685
1722	-86.08618	-256.9822	170.8961	1.789358	1.538259
1728	-92.21303	-262.9253	170.7123	1.249423	2.041684
1734	-99.48826	-270.5504	171.0622	1.145191	1.876732
1740	-92.22254	-262.2749	170.0523	2.667024	1.513006
1746	-95.01665	-265.5829	170.5663	2.632107	1.125604
1752	-89.11678	-259.4033	170.2865	2.790972	1.230706
1758	-91.34215	-261.5689	170.2267	3.053941	1.049449
1764	-94.17998	-264.4887	170.3087	2.868964	1.144148
1770	-91.62346	-261.3371	169.7136	3.8637	0.6952126
1776	-93.56189	-263.7874	170.2255	3.356698	0.686395
1782	-82.25759	-253.1787	170.9212	2.487213	0.9194908
1788	-86.16867	-256.8411	170.6724	2.825281	0.8137467
1794	-83.19746	-253.8756	170.6782	2.702441	0.9493596
1800	-83.46965	-254.2948	170.8251	2.321901	1.171079
1806	-81.99738	-252.6218	170.6244	2.434613	1.24616
1812	-78.45891	-249.3239	170.865	2.456718	1.009509
1818	-79.92512	-249.6359	169.7107	3.734016	0.8784797
1824	-78.07093	-248.5277	170.4568	3.009329	0.853243
1830	-85.68868	-256.026	170.3373	2.885487	1.10349
1836	-85.19147	-256.4034	171.2119	2.262816	0.8427254
1842	-94.3086	-265.6748	171.3662	1.958327	1.006764
1848	-98.19377	-268.2637	170.07	3.154189	1.102236
1854	-97.89613	-269.1512	171.2551	1.761544	1.281266
1860	-90.35481	-261.6725	171.3177	1.574768	1.380692
1866	-94.0179	-264.8091	170.7912	1.565233	1.774054
1872	-91.95338	-262.6115	170.6582	1.698269	1.774054
1878	-88.30629	-258.9869	170.6806	1.499359	1.89537
1884	-96.82903	-267.4354	170.6063	1.398773	2.012859
1890	-95.34484	-266.1844	170.8395	1.524953	1.768442
1896	-97.36042	-267.6401	170.2797	2.084835	1.768442
1902	-86.57294	-257.4668	170.8938	1.805711	1.527771
1908	-98.04859	-268.8516	170.803	2.057007	1.405983
1914	-98.54399	-269.7449	171.201	1.838823	1.262168
1920	-92.46141	-262.8632	170.4018	2.957664	0.9714307
1926	-94.14757	-264.8482	170.7006	2.74248	0.8803951
1932	-86.65497	-257.8329	171.1779	2.19878	0.9535024
1938	-86.96923	-258.2029	171.2337	1.529707	1.479945
1944	-83.08021	-254.293	171.2128	1.831111	1.258748
1950	-81.41531	-252.13	170.7147	2.763993	0.8377748
1956	-92.10219	-262.8671	170.7649	2.458683	1.102779
1962	-81.93683	-251.3847	169.4479	3.887019	0.9963504
1968	-90.82306	-260.9876	170.1646	2.926565	1.219147
1974	-87.7588	-257.9219	170.1631	3.267085	0.8952337
1980	-85.82105	-256.155	170.3339	3.096235	0.8952337
1986	-92.37581	-263.2751	170.8993	2.372399	1.057971
1992	-82.9519	-253.9683	171.0164	1.976949	1.300235
1998	-91.33018	-262.0725	170.7423	2.22295	1.322946
2004	-88.66071	-259.981	171.3203	1.784759	1.207333
2010	-93.1707	-264.5884	171.4177	1.157664	1.618806
2016	-95.40751	-266.0924	170.6849	1.752765	1.717156
2022	-93.35005	-264.0349	170.6849	1.752765	1.717156
2028	-89.62814	-260.2641	170.636	2.827833	0.8559415
2034	-97.05552	-267.2487	170.1932	3.310902	0.805347
2040	-95.18763	-264.9797	169.7921	3.065994	1.407539
2046	-114.4831	-284.7654	170.2823	3.110932	0.9358621
2052	-106.0166	-276.6226	170.606	2.816913	0.9033642
2058	-106.1509	-276.925	170.7741	2.816913	0.6695022
2064	-98.15754	-268.8875	170.7299	1.914991	1.568111
2070	-92.022	-262.8491	170.8271	1.728321	1.633215
2076	-92.63436	-262.9324	170.298	2.265292	1.627529
2082	-95.86943	-267.573	171.7035	1.502315	1.118877
2088	-89.36033	-260.7899	171.4296	1.893626	1.008015
2094	-100.1649	-271.0944	170.9295	2.300253	1.097108
2100	-97.09934	-268.0444	170.9451	1.747722	1.532797
2106	-102.4178	-273.2351	170.8173	2.265926	1.22584
2112	-98.27872	-268.8192	170.5405	2.844215	0.9449711
2118	-99.05113	-268.6014	169.5503	3.597433	1.170494
2124	-95.88846	-264.9353	169.0468	4.517743	0.7171193
2130	-84.41931	-255.101	170.6817	2.597863	1.050475
2136	-85.69583	-255.6095	169.9136	3.598005	0.7953324
2142	-82.04603	-252.8998	170.8537	2.501501	0.9757512
2148	-88.71214	-259.7194	171.0072	1.969631	1.31359
2154	-85.19722	-256.1509	170.9537	1.66632	1.586366
2160	-87.12439	-257.8802	170.7558	2.176389	1.349375
2166	-84.9381	-255.4647	170.5266	2.628059	1.164461
2172	-89.16716	-260.0642	170.897	2.151149	1.255188
