Iteration	Posterior	Likelihood	Prior	tree_length
2598	-1429.439	-1596.212	166.7728	5.093172
2604	-1429.156	-1595.341	166.1856	5.417663
2610	-1432.032	-1599.215	167.1825	4.865458
2616	-1435.098	-1602.421	167.323	4.787099
2622	-1447.185	-1614.135	166.9498	4.994964
2628	-1442.636	-1610.363	167.7276	4.560544
2634	-1448.407	-1615.33	166.9229	5.009908
2640	-1437.836	-1605	167.1634	4.876133
2646	-1440.628	-1608.84	168.2122	4.287391
2652	-1438.145	-1606	167.8555	4.488669
2658	-1440.672	-1607.568	166.8957	5.025026
2664	-1440.692	-1608.402	167.7095	4.570741
2670	-1450.315	-1617.964	167.6485	4.604949
2676	-1433.045	-1600.088	167.0429	4.943171
2682	-1446.151	-1613.387	167.2357	4.835839
2688	-1453.833	-1620.423	166.5904	5.1942
2694	-1448.756	-1616.376	167.6197	4.621107
2700	-1432.84	-1600.271	167.4313	4.726578
2706	-1436.936	-1604.689	167.7532	4.546174
2712	-1436.073	-1603.784	167.7107	4.570052
2718	-1440.256	-1606.67	166.4137	5.291861
2724	-1440.171	-1607.862	167.6911	4.581042
2730	-1439.286	-1607.328	168.0419	4.383617
2736	-1444.848	-1611.953	167.1049	4.908686
2742	-1450.748	-1618.915	168.1661	4.313437
2748	-1439.128	-1606.891	167.7629	4.540756
2754	-1427.214	-1594.959	167.7457	4.550424
2760	-1419.626	-1586.379	166.7531	5.10412
2766	-1428.049	-1595.169	167.1206	4.899981
2772	-1424.754	-1592.108	167.3544	4.769547
2778	-1426.732	-1593.612	166.8803	5.033559
2784	-1429.414	-1597.403	167.989	4.413455
2790	-1430.805	-1598.892	168.0869	4.358212
2796	-1439.788	-1607.578	167.7892	4.525934
2802	-1429.068	-1596.861	167.7929	4.523903
2808	-1428.862	-1596.655	167.7929	4.523903
2814	-1442.147	-1609.272	167.1253	4.897355
2820	-1442.054	-1608.189	166.1347	5.445679
2826	-1445.089	-1611.65	166.5616	5.210123
2832	-1438.268	-1604.814	166.5461	5.218716
2838	-1455.055	-1622.047	166.9919	4.971531
2844	-1450.483	-1617.728	167.2452	4.830516
2850	-1439.576	-1606.88	167.3046	4.797398
2856	-1435.301	-1602.606	167.3046	4.797398
2862	-1439.377	-1606.965	167.5877	4.639067
2868	-1434.673	-1601.564	166.8915	5.027327
2874	-1440.836	-1606.791	165.9549	5.544583
2880	-1434.519	-1601.166	166.6467	5.163031
2886	-1431.761	-1598.72	166.9599	4.989349
2892	-1437.725	-1605.073	167.3488	4.772704
2898	-1442.061	-1610.026	167.9644	4.427364
2904	-1431.102	-1598.237	167.1351	4.891858
2910	-1442.073	-1609.328	167.2543	4.825426
2916	-1453.961	-1621.438	167.4775	4.700729
2922	-1459.064	-1626.542	167.4775	4.700729
2928	-1460.397	-1627.874	167.4775	4.700729
2934	-1450.021	-1617.147	167.1262	4.896859
2940	-1446.238	-1613.611	167.3724	4.759528
2946	-1439.353	-1606.725	167.3724	4.759528
2952	-1443.533	-1610.78	167.2472	4.829406
2958	-1437.638	-1604.948	167.3102	4.794266
2964	-1435.336	-1602.995	167.6587	4.599214
2970	-1433.775	-1601.117	167.3425	4.77624
2976	-1440.773	-1608.68	167.9074	4.459441
2982	-1452.235	-1618.724	166.4884	5.250603
2988	-1455.171	-1621.652	166.4806	5.254897
2994	-1443.256	-1610.448	167.1919	4.860238
3000	-1428.891	-1596.163	167.2717	4.815747
3006	-1434.997	-1602.099	167.1016	4.910507
3012	-1442.363	-1608.767	166.4043	5.297062
3018	-1447.992	-1615.44	167.4482	4.71714
3024	-1445.929	-1612.622	166.6933	5.137273
