Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
1140	-1753.685	-1922.315	168.6291	1.639912	1.170094	0.4734036	0.3360205	0.3745925	0.1357348	1.905225	1.537375
1146	-1757.338	-1926.114	168.7765	1.661962	1.113676	0.6331597	0.3010721	0.2373849	0.2766633	2.039133	1.244886
1152	-1759.102	-1928.697	169.5949	1.600463	0.8979073	0.8748898	0.1973873	0.1781665	0.347849	1.679349	0.931129
1158	-1778.529	-1947.208	168.679	1.600463	1.046939	0.9224745	0.3496276	0.1306651	0.4170506	1.815814	1.304121
1164	-1766.682	-1934.101	167.4188	1.344479	0.832416	0.5778555	0.4088093	0.539251	0.113718	2.150064	2.386667
1170	-1770.395	-1938.302	167.9069	1.523614	1.192698	0.6194832	0.2098391	0.2260949	0.09598554	1.683316	2.347774
1176	-1772.225	-1940.678	168.4533	1.10045	0.9615601	0.5581923	0.3134049	0.2348664	0.1262696	1.311979	2.588135
1182	-1764.323	-1932.144	167.8212	1.488126	1.00174	1.065127	0.2996211	0.2237319	0.2903968	1.146841	2.422335
1188	-1776.032	-1941.33	165.298	1.968488	1.28579	0.869672	0.7385915	0.252256	0.3294855	2.324912	2.62362
1194	-1782.59	-1945.41	162.82	1.452893	1.637742	1.225836	0.8857857	0.660745	0.5000636	4.952982	1.915774
1200	-1759.697	-1922.888	163.1917	1.667993	0.9690036	0.8639485	0.8760585	0.7119581	0.7059697	4.952982	2.042634
1206	-1762.478	-1925.367	162.8893	1.437994	1.36306	1.072344	0.6859095	0.4581798	0.4415767	5.579917	2.042634
1212	-1752.201	-1918.498	166.2967	1.680062	0.8167678	0.6484929	0.6540142	0.4743092	0.364455	2.569604	2.324881
1218	-1758.218	-1924.409	166.1908	1.021674	0.9915278	0.8730129	0.3667979	0.6148319	0.6751146	2.569604	2.436099
1224	-1763.444	-1928.845	165.401	1.088301	0.9061278	0.8730129	0.8311577	0.8468468	0.292745	3.278126	2.300451
1230	-1757.246	-1925.118	167.8721	1.107688	0.8741695	0.7795378	0.4562334	0.4500578	0.3722729	2.832384	1.45922
1236	-1750.957	-1917.27	166.3134	1.654641	1.258679	0.6340861	0.6337656	0.3406492	0.2917932	2.690034	2.123868
1242	-1758.315	-1924.782	166.4671	2.173654	1.117014	0.9524793	0.6337656	0.3701345	0.1321926	2.471909	1.835046
1248	-1765.381	-1932.566	167.1852	1.110072	1.259292	0.8282358	0.5811096	0.3766111	0.1822672	2.197361	2.171372
1254	-1754.69	-1922.496	167.8056	1.830275	0.8499287	0.6162815	0.4720556	0.2518289	0.1909812	2.157321	1.896696
1260	-1755.396	-1923.946	168.5501	1.180997	0.8494625	0.6374204	0.3513691	0.2171742	0.3625394	2.157321	1.776883
1266	-1746.992	-1914.689	167.6978	1.547324	1.336503	0.6476191	0.3513691	0.1579457	0.3895613	2.038771	1.886451
