Iteration	Posterior	Likelihood	Prior	gain_loss_ratio	tree_length
2652	-1821.701	-1992.615	170.9147	1.323403	1.913573
2658	-1822.799	-1993.425	170.6259	1.11001	2.242019
2664	-1814.551	-1985.193	170.6428	1.305278	2.10631
2670	-1817.93	-1989.042	171.1124	1.114812	1.918459
2676	-1823.217	-1994.126	170.9089	1.462694	1.826651
2682	-1818.25	-1989.289	171.0392	1.16043	1.937261
2688	-1813.709	-1984.679	170.9699	1.383988	1.836211
2694	-1823.1	-1993.662	170.5625	1.517308	2.02605
2700	-1820.25	-1991.028	170.7786	1.290639	2.02605
2706	-1823.894	-1995.055	171.1607	1.487486	1.633124
2712	-1830.406	-2001.197	170.7909	1.133767	2.11966
2718	-1840.178	-2010.983	170.8051	1.133767	2.110304
2724	-1822.815	-1993.685	170.8704	1.259685	1.985061
2730	-1819.683	-1990.471	170.7878	1.291727	2.019275
2736	-1843.002	-2013.867	170.8651	1.279355	1.97575
2742	-1835.674	-2006.844	171.1702	1.120189	1.87555
2748	-1837.062	-2007.867	170.805	1.340163	1.976495
2754	-1840.322	-2010.996	170.6734	1.512619	1.954879
2760	-1844.924	-2016.155	171.2313	1.140162	1.820098
2766	-1837.118	-2008.26	171.1421	1.264755	1.796955
2772	-1830.749	-2001.892	171.1428	1.264755	1.796481
2778	-1825.612	-1995.992	170.3803	1.60961	2.089965
2784	-1827.495	-1998.524	171.0288	1.136083	1.96051
2790	-1825.528	-1996.274	170.7451	1.259445	2.068347
2796	-1825.947	-1996.892	170.9444	1.311783	1.901109
