Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
1560	-186.1131	-356.6719	170.5588	1.336895	1.801532	0.6238384
1566	-184.9262	-356.0662	171.14	1.382757	1.176228	0.6238384
1572	-173.2706	-344.8137	171.5432	0.9418031	1.184924	0.6737972
1578	-179.5776	-350.4291	170.8515	1.792497	1.063985	0.6748494
1584	-190.4606	-361.6267	171.1661	1.457399	0.931106	0.8560746
1590	-189.1584	-356.177	167.0186	6.491327	2.064775	0.4156473
1596	-189.2258	-357.8593	168.6336	3.982866	1.74771	0.4785374
1602	-184.4154	-355.249	170.8336	1.991194	0.9433847	0.5957093
1608	-177.5819	-348.9444	171.3626	1.430613	0.8579251	0.7218406
1614	-182.4358	-352.9096	170.4738	2.359545	0.8579251	0.8391682
1620	-190.541	-362.4265	171.8855	0.5778665	0.9826626	0.9403508
1626	-193.3466	-364.4176	171.0709	1.275351	1.093442	0.9748433
1632	-189.6963	-361.0708	171.3744	0.952084	1.117122	0.9681608
1638	-188.403	-359.2431	170.84	2.066514	0.8613781	0.6290154
1644	-185.8258	-358.0491	172.2233	0.5132777	0.8912671	0.6736573
1650	-182.8237	-354.5578	171.7342	1.033865	0.7656868	0.869271
1656	-185.1507	-357.3221	172.1713	0.849826	0.5606876	0.808784
1662	-187.1824	-357.4617	170.2793	2.934786	0.5752395	0.8957147
1668	-184.4029	-355.9395	171.5366	1.056839	0.6070142	1.195046
1674	-184.7376	-355.477	170.7394	1.751485	0.8477638	1.102719
1680	-180.8581	-351.8677	171.0096	1.22209	1.473633	0.592614
1686	-187.3411	-357.4186	170.0775	1.894279	1.78195	0.5974791
1692	-180.543	-351.3353	170.7923	1.827329	0.9200322	0.911245
1698	-187.5193	-358.5066	170.9873	1.525136	0.9984354	0.911245
1704	-186.8543	-358.0375	171.1832	1.111051	1.162771	0.9544822
1710	-183.08	-354.3188	171.2388	1.194756	1.160156	0.7952631
1716	-170.782	-342.2101	171.428	1.351341	0.818279	0.7952631
1722	-174.5367	-345.3513	170.8146	1.702659	1.154731	0.7211329
1728	-183.7135	-354.2723	170.5588	1.651747	1.348533	0.867632
1734	-199.4732	-368.9058	169.4326	3.797398	1.061574	0.5157095
1740	-175.8416	-346.2523	170.4107	2.136969	1.260445	0.5138796
1746	-189.7372	-359.5705	169.8333	2.32096	1.665741	0.6169222
1752	-182.6112	-352.8568	170.2456	1.565151	1.912373	0.4240082
1758	-180.3868	-350.9989	170.6121	1.768398	1.367282	0.5627728
1764	-184.1389	-354.9055	170.7666	0.9193276	2.030367	0.463537
1770	-182.6879	-352.7878	170.0998	2.13371	1.574302	0.4978768
1776	-189.4858	-356.4225	166.9366	5.075822	2.749799	0.3178032
1782	-186.2676	-356.3447	170.0771	1.099852	2.542062	0.513707
1788	-198.6095	-368.3881	169.7786	1.745938	2.175975	0.3555034
1794	-186.7436	-357.5322	170.7886	1.088797	1.841426	0.4849328
1800	-191.0023	-360.0776	169.0752	2.659993	2.181773	0.5533253
1806	-193.9286	-365.0768	171.1482	0.8574689	1.593575	0.7855647
1812	-191.6818	-362.9758	171.2939	1.223485	1.016845	0.8702854
1818	-183.3037	-354.9597	171.656	1.223485	0.7318736	0.7714635
1824	-169.8361	-341.1492	171.3131	1.247462	1.102177	0.690867
1830	-198.14	-368.3294	170.1895	3.091178	0.7412492	0.6152898
1836	-191.7698	-362.2856	170.5157	2.594597	0.6675127	0.7973141
1842	-184.2336	-354.7184	170.4847	1.472423	1.372586	1.089473
1848	-183.8211	-354.9058	171.0847	1.029571	1.153619	1.135959
1854	-186.5205	-358.1935	171.673	0.578805	1.387674	0.6861952
1860	-194.4247	-364.0099	169.5852	3.251574	1.257643	0.4686922
1866	-200.49	-371.4429	170.9528	1.000011	1.723369	0.6612732
1872	-190.5888	-359.317	168.7282	4.26523	1.472071	0.5962355
1878	-189.1799	-359.0633	169.8833	2.171681	1.750727	0.4360465
1884	-180.4858	-351.5499	171.0641	1.200969	1.376106	0.7260306
1890	-186.348	-356.3706	170.0226	2.739282	1.021524	0.8380646
1896	-183.7088	-353.0473	169.3385	3.037914	1.628614	0.6165054
1902	-170.2043	-341.0408	170.8366	1.97388	0.8604882	0.7738831
1908	-182.0424	-353.7941	171.7517	1.0744	0.5180762	1.06609
1914	-182.2508	-353.8553	171.6045	1.632057	0.4940317	0.577324
1920	-189.9696	-360.0328	170.0631	2.517885	1.223766	0.7315112
1926	-176.9021	-348.6615	171.7594	1.065133	0.6235093	0.9636336
1932	-181.1912	-352.5499	171.3587	1.178232	1.095667	0.7390539
1938	-185.9227	-356.9461	171.0235	1.378544	1.00638	1.009899
1944	-191.2532	-361.8869	170.6337	1.378544	1.663856	0.6734074
1950	-185.514	-357.0404	171.5264	0.752849	1.298637	0.8102791
1956	-181.8688	-352.8017	170.9329	1.553025	1.065195	0.8674837
1962	-194.2431	-365.0795	170.8364	1.976863	0.7746566	0.8796817
1968	-187.2529	-356.2531	169.0002	3.955518	1.307123	0.7451317
1974	-176.2009	-346.2232	170.0223	2.441992	1.356034	0.674243
1980	-171.9745	-342.3398	170.3652	1.642553	1.728925	0.5550894
1986	-186.4493	-357.0654	170.6161	2.319095	0.8382225	0.7108843
1992	-181.9823	-352.4982	170.5159	2.230518	1.026739	0.6800662
1998	-182.6801	-352.3028	169.6227	3.251728	1.154818	0.706526
2004	-176.2225	-344.8509	168.6283	2.417782	2.766957	0.3564181
2010	-178.974	-350.2131	171.2391	1.375628	1.073518	0.648119
2016	-175.1022	-346.2101	171.1079	1.604218	0.9024739	0.7925862
2022	-198.9061	-371.0732	172.1671	0.5201265	0.7178431	0.9669059
2028	-199.0732	-369.767	170.6938	1.254451	1.087582	1.332991
2034	-183.3932	-354.4822	171.0891	1.126681	1.103427	1.089648
2040	-179.1338	-349.8481	170.7144	1.505813	1.461058	0.6764822
2046	-174.098	-343.3727	169.2748	3.901606	1.053852	0.7617859
2052	-177.3187	-349.1233	171.8046	1.072149	0.701489	0.8145088
2058	-179.969	-351.8048	171.8358	0.689581	1.165959	0.6069034
2064	-170.021	-340.9723	170.9513	1.517872	1.165959	0.7544929
2070	-174.5352	-345.4538	170.9186	1.671684	1.057199	0.7544929
2076	-177.9128	-348.3275	170.4146	1.750871	1.487325	0.7585011
2082	-183.0882	-354.4613	171.3731	1.26553	0.6448323	1.124055
2088	-180.1903	-351.3419	171.1516	1.271448	0.7778653	1.196745
2094	-185.9852	-356.7375	170.7522	2.010337	0.8711464	0.8306472
2100	-184.647	-355.1166	170.4697	2.274319	0.9484978	0.8154711
2106	-187.8394	-357.9541	170.1147	2.523241	1.036853	0.9017886
2112	-193.7418	-363.9238	170.182	2.427793	1.036853	0.9086469
2118	-187.6033	-358.6821	171.0789	1.347007	0.8127145	1.166092
2124	-190.0067	-361.4308	171.4241	1.202651	0.6081586	1.166092
2130	-195.9213	-367.064	171.1426	1.260955	1.167551	0.8263088
2136	-190.2193	-361.6254	171.4061	1.031487	0.7694184	1.18943
2142	-184.5304	-356.2254	171.695	1.031487	0.7694184	0.9123689
2148	-189.5225	-360.8393	171.3168	1.031487	1.097346	0.9661233
2154	-186.5939	-358.0796	171.4856	1.299989	0.8051774	0.8021472
2160	-185.6851	-356.1157	170.4306	2.453968	0.9270329	0.6953966
2166	-191.8613	-362.3123	170.4509	1.912909	1.348363	0.6953966
2172	-178.7116	-350.7144	172.0028	0.7559398	0.7894898	0.8477633
2178	-183.1912	-354.8702	171.679	0.6635568	1.306263	0.6936369
2184	-197.5007	-368.817	171.3163	1.666516	0.7314937	0.6331837
2190	-191.3601	-361.6024	170.2423	2.3276	1.244984	0.6331837
2196	-191.6336	-361.8204	170.1868	1.951414	1.623318	0.5981247
2202	-192.8792	-364.2929	171.4136	1.010409	1.237201	0.3485295
2208	-177.7321	-347.5352	169.8032	2.504227	1.543309	0.6405525
2214	-192.9515	-364.9753	172.0238	0.7085815	0.7707094	0.8973207
2220	-192.2011	-361.9853	169.7843	2.980311	1.089865	0.8344828
2226	-189.9243	-359.744	169.8197	2.974967	1.131622	0.7327423
2232	-181.0256	-351.5491	170.5235	2.411296	0.7400546	0.8723785
2238	-178.3564	-348.888	170.5315	1.836168	1.291843	0.7632085
2244	-178.1908	-349.1565	170.9656	1.282246	1.234965	0.9296159
2250	-182.9776	-352.8538	169.8762	2.185417	1.661179	0.749814
2256	-181.0168	-351.3018	170.285	2.185417	1.129765	0.9053733
2262	-183.7836	-354.8679	171.0843	1.614904	0.8871461	0.8305952
2268	-184.2857	-354.1427	169.8569	2.432087	1.558544	0.6069327
2274	-189.6273	-359.6424	170.0152	2.102103	1.682074	0.5400433
2280	-199.2734	-370.827	171.5537	0.9613973	1.120232	0.7336588
2286	-197.47	-368.0327	170.5627	2.007714	0.705115	1.188785
2292	-184.3099	-355.9485	171.6386	1.077375	0.685481	1.010858
2298	-180.231	-351.0461	170.8151	2.025033	0.4059214	1.216281
2304	-177.7076	-348.311	170.6033	1.696502	1.142903	0.997831
2310	-182.923	-353.6798	170.7568	1.766517	1.207629	0.6174737
2316	-180.6775	-352.0301	171.3526	1.201847	0.9211107	0.9357318
2322	-194.6126	-365.1896	170.577	1.630038	1.129503	1.093771
2328	-187.3625	-358.7439	171.3813	1.264689	0.8527302	0.9117432
