Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
1374	-251.0475	-414.1402	163.0927	0.2144678	1.585488	0.7832917	0.6741185	5.42525
1380	-231.3104	-398.1478	166.8374	0.06937337	1.726012	1.231628	0.8379542	2.953404
1386	-224.835	-391.601	166.7659	0.06937337	0.6606254	1.486593	1.147444	3.275303
1392	-220.0959	-385.8809	165.785	0.07329052	1.173285	1.486593	1.038955	3.617086
1398	-227.6224	-394.6602	167.0378	0.07329052	1.173285	1.505735	1.830311	2.37589
1404	-215.7887	-383.4561	167.6674	0.07329052	1.172183	1.05446	1.640353	2.37589
1410	-214.5914	-382.9493	168.3579	0.07416933	1.172183	1.056567	1.543333	1.988757
1416	-223.4455	-391.328	167.8825	0.07641058	1.313991	1.245061	1.690928	1.988757
1422	-213.5108	-382.2018	168.691	0.07641058	0.9377645	0.8542387	1.690928	1.956844
1428	-210.5162	-378.5813	168.0651	0.07641058	0.7715246	1.324536	1.515457	2.283694
1434	-222.0655	-390.4875	168.422	0.07641058	0.8646723	1.096755	1.515457	2.139076
1440	-229.1829	-397.0985	167.9156	0.07641058	0.7485767	1.49724	1.50175	2.296878
1446	-222.7163	-391.0437	168.3274	0.07641058	0.9195241	1.32468	1.69564	1.896923
1452	-222.8546	-392.2023	169.3477	0.1115575	0.9195241	1.065177	0.8957561	1.896923
1458	-223.2044	-391.6252	168.4209	0.1115575	1.050354	1.491154	1.236117	1.925044
1464	-227.3272	-394.1382	166.8111	0.9849386	1.050354	1.131542	2.320703	1.925044
1470	-227.2708	-390.529	163.2582	3.175659	1.050354	1.074562	1.675882	3.213046
1476	-236.4911	-402.4822	165.9911	2.123473	0.8786217	0.5837139	1.95768	2.406975
1482	-238.408	-403.7201	165.3121	1.477349	1.152651	0.9911453	1.895732	2.857415
1488	-243.7489	-409.4293	165.6804	0.7436756	1.692069	1.238347	1.653203	2.766396
1494	-247.8016	-413.8755	166.0739	0.752246	0.7535557	1.175618	3.056196	2.243599
1500	-231.2305	-394.8686	163.6382	1.550013	0.6943184	1.953673	3.467452	2.598502
1506	-231.7655	-396.761	164.9955	2.610634	0.4384577	1.977398	2.148757	2.001369
1512	-214.4134	-381.0819	166.6686	0.4374622	1.799172	1.118019	2.384281	1.877818
1518	-217.9224	-382.3415	164.4191	1.218766	2.771088	1.54121	2.711189	1.846392
1524	-235.9353	-400.0079	164.0726	1.486647	1.419491	1.323895	2.416394	2.930731
1530	-232.7937	-397.1888	164.3951	1.421929	0.6779074	1.283124	2.929506	2.926803
1536	-227.6193	-392.909	165.2897	0.2048043	1.077939	2.579545	2.929506	2.189219
1542	-226.5868	-392.8077	166.2209	0.4347632	1.395588	2.630644	1.814912	1.927619
1548	-222.6869	-388.4196	165.7327	0.347411	1.136397	2.73384	2.191878	2.175657
1554	-232.1007	-397.3865	165.2858	0.9780793	0.6877517	2.038118	2.673548	2.381128
1560	-230.6218	-393.7375	163.1158	2.42945	1.148567	2.545905	2.579437	2.352508
1566	-229.3028	-392.4256	163.1228	2.42945	0.6408929	2.288514	2.424014	2.874106
1572	-228.2796	-391.8248	163.5452	2.381481	0.8583112	1.365667	2.181341	3.158146
1578	-227.4388	-394.2448	166.806	1.906558	0.4330392	1.008326	1.708747	2.160412
1584	-227.1227	-393.5095	166.3868	1.533091	0.7642641	0.759382	2.493047	2.160412
1590	-227.9264	-392.427	164.5006	1.871627	0.8650647	0.8888446	3.652498	2.266003
1596	-219.6512	-384.1388	164.4876	2.59283	0.6153025	0.9712621	3.578863	1.948894
1602	-221.262	-386.5716	165.3096	2.674352	0.6094483	0.6423853	3.02707	1.928065
1608	-217.5077	-383.5874	166.0797	1.194997	1.103187	0.622206	1.765001	2.886299
