Iteration	Posterior	Likelihood	Prior	er_morph[1]	er_morph[2]	er_morph[3]	er_morph[4]	er_morph[5]	er_morph[6]	er_morph[7]	er_morph[8]	er_morph[9]	er_morph[10]	er_morph[11]	er_morph[12]	er_morph[13]	er_morph[14]	er_morph[15]	er_morph[16]	er_morph[17]	er_morph[18]	er_morph[19]	er_morph[20]	er_morph[21]	er_morph[22]	er_morph[23]	er_morph[24]	er_morph[25]	er_morph[26]	er_morph[27]	er_morph[28]	er_morph[29]	er_morph[30]	er_morph[31]	er_morph[32]	er_morph[33]	er_morph[34]	er_morph[35]	er_morph[36]	tree_length
252	86.35113	-179.0898	265.4409	0.526465	0.00688304	0.0194735	0.00560437	0.000418216	1.7311e-05	0.0331827	0.0078128	0.000649679	7.30721e-06	0.00220158	0.00348063	0.00449015	0.00255797	0.00419449	0.000754553	0.0112497	0.00352581	0.00962962	0.0243061	0.00151346	0.00575773	0.0579341	0.00340731	0.0288397	0.051287	0.0064478	0.0200865	0.00460147	0.0265316	0.00449869	0.0113567	0.0103776	0.0623108	0.00952798	0.0286173	0.1944187
258	82.44396	-183.071	265.515	0.48872	0.0314314	0.020428	0.00853469	0.000438716	1.81595e-05	0.0348092	0.00819576	0.00154601	7.66538e-06	0.00230949	0.00365124	0.00471024	0.00268335	0.00440009	0.000791539	0.0118011	0.00369864	0.0101016	0.0254975	0.00158765	0.00603995	0.017216	0.00410792	0.0302533	0.0538009	0.00676385	0.0210711	0.00242165	0.0278321	0.0047192	0.0441459	0.0108863	0.0653651	0.00999501	0.0300201	0.2206582
264	76.48582	-189.1988	265.6847	0.402447	0.0387646	0.0251941	0.00573483	0.000541073	2.23963e-05	0.0429306	0.0101079	0.00190671	9.4538e-06	0.00284832	0.00450312	0.00580919	0.00330941	0.00542667	0.000976214	0.0145545	0.00456157	0.0124585	0.0314464	0.00195807	0.00744914	0.0212326	0.00506634	0.0373117	0.0663532	0.00834193	0.0259872	0.00298664	0.00610187	0.00582024	0.0544456	0.0134262	0.0806155	0.012327	0.0370241	0.3170479
270	73.66385	-192.0227	265.6865	0.380332	0.0366344	0.0363433	0.00179986	0.00135264	2.11655e-05	0.0405714	0.00955246	0.00180193	8.93429e-06	0.0026918	0.00425566	0.00548996	0.00312755	0.0146687	0.000922568	0.0137546	0.0043109	0.10962	0.0297183	0.00185046	0.00703979	0.0200659	0.00478793	0.0254014	0.0136047	0.0135067	0.0245592	0.00282252	0.00576656	0.00550041	0.0514537	0.0126884	0.0761854	0.0116496	0.0261396	0.3186683
276	71.21329	-194.0314	265.2447	0.371833	0.0358158	0.0355312	0.00312085	0.00132242	1.27634e-05	0.0379014	0.009339	0.00176166	8.73464e-06	0.00758581	0.00416056	0.00536728	0.00305766	0.0367691	0.000901952	0.0134473	0.00421457	0.10717	0.0290542	0.00180911	0.00688248	0.0196175	0.00468094	0.0248338	0.0133007	0.0132049	0.0240104	0.00275945	0.0056377	0.00537749	0.0503039	0.00777861	0.074483	0.0113892	0.0255554	0.1446406
282	67.96878	-197.572	265.5408	0.410308	0.0395218	0.0392077	0.00344377	0.00145925	3.79658e-05	0.0464333	0.0103053	0.012657	9.63845e-06	0.00837074	0.00459107	0.00592266	0.00337405	0.0405738	0.000995281	0.00642994	0.00465067	0.0572835	0.0320606	0.00199631	0.00363212	0.0263665	0.0051653	0.0274035	0.014677	0.0145712	0.0264948	0.00304498	0.00622105	0.00593393	0.055509	0.0085835	0.0369742	0.0125677	0.0232229	0.2312959
288	62.06108	-203.4343	265.4954	0.404646	0.0389765	0.0386667	0.00339625	0.00143912	3.74419e-05	0.0457926	0.00299004	0.0124823	9.50545e-06	0.00825524	0.00452772	0.0077709	0.00332749	0.0402895	0.000981548	0.00634122	0.00458649	0.0627262	0.0316182	0.00196876	0.000618064	0.0298499	0.00862724	0.0270253	0.0144745	0.0143702	0.0261292	0.00300296	0.00732799	0.00585205	0.0547431	0.00846506	0.0364641	0.0193177	0.0229025	0.2131383
294	69.36111	-196.2391	265.6002	0.40704	0.039207	0.0388954	0.00341634	0.000917838	3.87407e-05	0.0460635	0.00300772	0.0125562	9.56168e-06	0.00743436	0.00249308	0.00781687	0.00334717	0.0405278	0.00176276	0.00938897	0.00461362	0.0630973	0.0318052	0.00198041	0.0020066	0.0245809	0.00867827	0.0250048	0.0145601	0.0144552	0.0262838	0.00302073	0.00737134	0.00588666	0.0550669	0.00851513	0.0366798	0.019432	0.023038	0.25991
300	69.16677	-196.1925	265.3593	0.404941	0.0390049	0.0386949	0.00694225	0.00113906	3.8541e-05	0.045826	0.00299221	0.0124914	9.51238e-06	0.00739603	0.00248022	0.00777656	0.00332991	0.0403189	0.00175367	0.0189641	0.00458983	0.0627719	0.0316412	0.0019702	0.00199626	0.0244542	0.00863352	0.0248759	0.014485	0.0143806	0.0261483	0.00581784	0.00733333	0.00585631	0.0437336	0.00847123	0.0364906	0.0193318	0.0229192	0.1709836
306	59.46574	-206.2927	265.7584	0.407257	0.0392279	0.0180834	0.00698196	0.0025123	3.87614e-05	0.0460881	0.00300933	0.0125629	2.81014e-06	0.00229654	0.00249441	0.00782104	0.00334896	0.0405495	0.0017637	0.0190725	0.00461609	0.063131	0.0318222	0.00198147	0.00200767	0.0245941	0.0086829	0.0250182	0.0145679	0.0144629	0.0262978	0.00585112	0.00737527	0.00588981	0.0439838	0.00851968	0.0366993	0.0383374	0.0230503	0.5944215
