Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
1572	-1018.209	-1186.207	167.9981	0.02855206	1.216513	0.7913058	0.9156057	2.783114
1578	-1006.006	-1173.866	167.8596	0.001792119	0.7799655	1.01222	1.182394	2.851393
1584	-1005.083	-1173.32	168.2375	0.01884904	1.01113	1.113734	1.182394	2.403482
1590	-1004.963	-1172.87	167.907	0.04156748	1.206744	0.9607637	1.049253	2.652307
1596	-1011.301	-1179.04	167.7385	0.2910274	1.166036	0.8365454	1.04943	2.702975
1602	-1003.496	-1171.023	167.5266	0.2611797	1.404974	0.9270885	1.04943	2.653543
1608	-1015.161	-1182.897	167.7361	0.1951928	1.190884	1.092241	1.051551	2.590074
1614	-1015.048	-1181.957	166.9088	0.2102973	1.278241	1.076362	0.7125042	3.243246
1620	-1026.214	-1194.401	168.1875	0.09003688	0.9732809	0.8226397	0.8243602	2.814643
1626	-1030.231	-1197.783	167.5527	0.1281598	0.9353578	1.103878	0.9988323	2.923735
1632	-1028.126	-1195.242	167.1157	0.1295665	1.10662	1.047012	1.172555	3.012461
1638	-1028.441	-1195.524	167.0833	0.2766872	1.008595	1.047012	1.172555	3.00234
1644	-1030.063	-1196.345	166.2818	0.08164572	1.243795	1.045816	0.6500372	3.758043
1650	-1030.702	-1198.176	167.4745	0.08230624	0.9954946	1.08278	0.838278	3.071102
1656	-1016.078	-1183.347	167.2694	0.05831042	1.290767	1.064729	1.075449	2.901463
1662	-1025.908	-1193.388	167.4797	0.2772582	1.597545	0.8875937	1.221514	2.478196
1668	-1027.404	-1194.813	167.4093	0.02384734	0.9331148	1.655796	1.017849	2.743537
1674	-999.975	-1167.867	167.8918	0.2510984	1.300857	0.7722818	1.017849	2.60965
1680	-1008.925	-1176.322	167.3969	0.4239977	1.304348	0.9404392	1.131265	2.634136
1686	-1018.298	-1185.51	167.2113	0.09662849	1.187723	0.9774417	0.893502	3.135195
1692	-1009.875	-1177.531	167.6558	0.07835927	0.9792487	1.010315	0.8147868	3.03209
1698	-1018.616	-1186.434	167.8186	0.1261916	1.128004	0.9797376	0.8822077	2.793066
1704	-1009.728	-1177.731	168.0025	0.1992504	0.9927419	0.8300345	1.148788	2.646042
1710	-1020.049	-1188.222	168.173	0.218411	1.215254	0.8632324	1.135024	2.377685
1716	-1007.987	-1175.564	167.5766	0.2045284	1.500298	1.117784	1.057998	2.478153
1722	-1003.422	-1170.705	167.283	0.1830757	1.479688	0.9429934	1.057998	2.792314
1728	-1012.373	-1179.506	167.1325	0.03409636	1.701178	0.9429934	0.8761258	2.960236
1734	-1018.742	-1185.465	166.7235	0.4468918	1.035349	0.8944179	0.8761258	3.365214
1740	-1030.177	-1197.678	167.5006	0.3087925	1.421475	0.7725077	0.9862885	2.762554
1746	-1018.038	-1185.502	167.4647	0.05875758	1.274891	1.225735	0.8177666	2.851743
1752	-1020.714	-1187.863	167.1492	0.6398734	1.030982	1.145158	1.088968	2.720206
1758	-1024.206	-1191.771	167.5657	0.5755248	1.032762	1.282077	1.148314	2.379284
