"scenario","gridTag","modelID","median_cid","iqr_cid","n_reps","tree_length","gain_loss","n_char","n_taxa","part_rate","pass_rate","mean_rhat_max","mean_ess_min","mean_asdsf","mean_tree_ess","n_reps_conv","cov_tree_len","mse_tree_len","cov_error_tree_len","mean_cov_rate_loss","mean_mse_rate_loss","cov_error_rate_loss","mean_cgr_coverage","cov_error_cgr"
"nt","tl2.50_gl1.00_pr1.00_c50","model7",0.395267874520478,0.0663617429340838,10,2.5,1,50,50,1,1,0.99948711042787,782.752587590416,0.00544691467842015,417.694625240971,10,0.6,2.2696827798739,0.35,NA,NA,NA,0.8,0.15
"nt","tl2.50_gl1.00_pr1.00_c50","model8",0.394381544931811,0.0637502686933457,10,2.5,1,50,50,1,1,0.999349600666184,740.098002663702,0.00614286574250259,436.175951132605,10,0.6,5.00633197884394,0.35,NA,NA,NA,0.8,0.15
"nt","tl2.50_gl1.00_pr1.00_c50","model9",0.382453066179921,0.0555266420985328,8,2.5,1,50,50,1,0.8,0.999771604314277,581.336302468101,0.00349316132025037,539.542189772234,10,0.8,0.693200336782339,0.15,NA,NA,NA,0.875,0.075
"nt","tl2.50_gl1.00_pr2.50_c100","model1",0.285374935578654,0.0968444268960543,10,2.5,1,100,50,2.5,1,0.99930436486184,762.453475989186,0.00688327582651787,387.93303566955,10,0.4,3.92303630510451,0.55,NA,NA,NA,0.4,0.55
"nt","tl2.50_gl1.00_pr2.50_c100","model10",0.290098291435382,0.0777280890734557,10,2.5,1,100,50,2.5,1,0.999412088102393,793.091020260614,0.00615239562946561,496.681971056075,10,0.5,20.8239052602577,0.45,NA,NA,NA,0.75,0.2
"nt","tl2.50_gl1.00_pr2.50_c100","model11",0.250726957836557,0.112711207636716,10,2.5,1,100,50,2.5,1,0.999216397473933,733.336180953226,0.00851661706824585,239.173070269566,10,0.5,2.08934234826078,0.45,NA,NA,NA,0.5,0.45
"nt","tl2.50_gl1.00_pr2.50_c100","model12",0.266358894767603,0.0615248358585327,8,2.5,1,100,50,2.5,0.8,0.999630257443501,515.548157351097,0.00523065514160594,418.716705295999,10,0,2.77524087409451,0.95,NA,NA,NA,0,0.95
"nt","tl2.50_gl1.00_pr2.50_c100","model2",0.287487740797433,0.058881965421909,10,2.5,1,100,50,2.5,1,0.999306710265198,815.101852386956,0.00667099707279847,409.516510696102,10,0.4,34.7727719477232,0.55,NA,NA,NA,0.4,0.55
"nt","tl2.50_gl1.00_pr2.50_c100","model3",0.286366934506296,0.0997994386211376,10,2.5,1,100,50,2.5,1,0.999327858375991,753.433328676431,0.00656123365348344,394.85739575522,10,0.4,3.91881697370109,0.55,0.9,0.0178342479189355,0.0499999999999999,0.65,0.3
"nt","tl2.50_gl1.00_pr2.50_c100","model4",0.290855404117845,0.0941574882981992,10,2.5,1,100,50,2.5,1,0.999426611453151,725.705757449399,0.00606822949760504,398.204394566828,10,0.3,1.75670158577842,0.65,NA,NA,NA,0.3,0.65
"nt","tl2.50_gl1.00_pr2.50_c100","model5",0.293311317659613,0.0981713879124457,10,2.5,1,100,50,2.5,1,0.999474600310154,787.772751469884,0.00571914771772634,466.543859337533,10,0.3,1.74720460131572,0.65,NA,NA,NA,0.65,0.3
