Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
1914	-3096.059	-3262.175	166.1159	0.05731362	0.8914196	1.097966	4.361104
1920	-3083.616	-3249.79	166.1739	0.06218141	0.8159855	1.109434	4.361104
1926	-3074.766	-3241.629	166.8632	0.06127917	0.8771761	1.109434	3.935469
1932	-3077.366	-3243.809	166.4437	0.06168943	0.8929256	1.121881	4.158533
1938	-3075.407	-3241.867	166.4603	0.06152527	0.9011649	1.097289	4.158533
1944	-3085.018	-3251.35	166.3314	0.06095316	0.9334674	1.046417	4.242607
1950	-3072.646	-3239.316	166.67	0.06200434	0.9678685	1.05159	4.026955
1956	-3075.698	-3241.882	166.1835	0.0597671	1.092956	1.013426	4.255534
1962	-3075.432	-3241.784	166.352	0.05881038	0.9085554	1.110633	4.209832
1968	-3079.593	-3245.861	166.2676	0.06103682	0.8978454	0.9738907	4.3398
1974	-3077.057	-3244.281	167.2238	0.06794685	1.005009	1.066161	3.675585
1980	-3072.777	-3240.267	167.4896	0.06725288	0.9085636	1.056756	3.58316
1986	-3069.784	-3236.65	166.8667	0.06429957	0.8610716	1.071608	3.962508
