Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	tree_length
1656	-1144.939	-1300.666	155.7271	1.647458	0.8382087	1.024693	9.239255
1662	-1157.361	-1308.334	150.9732	1.945331	1.209192	1.117634	11.33886
1668	-1154.72	-1310.365	155.6448	1.791312	0.9341567	1.117634	9.107377
1674	-1161.883	-1317.3	155.4168	1.769719	1.330843	0.9745139	9.107377
1680	-1156.056	-1312.768	156.7111	1.768412	0.904529	1.100566	8.579074
1686	-1145.844	-1305.308	159.4637	1.644643	1.036033	1.100566	7.104665
1692	-1150.494	-1306.626	156.1314	1.769912	1.205341	1.076872	8.739493
1698	-1152.5	-1308.923	156.4237	1.896794	0.8194605	1.041047	8.739493
1704	-1158.311	-1319.435	161.1242	1.617892	0.9313224	0.7281281	6.477637
1710	-1162.259	-1317.768	155.5089	1.810538	0.842467	1.072919	9.240741
1716	-1145	-1300.298	155.298	1.802201	0.9064367	0.9974026	9.362993
1722	-1148.937	-1303.504	154.5664	1.839572	0.8336415	1.221476	9.64983
1728	-1148.209	-1305.787	157.5786	1.743897	1.034943	0.7289402	8.256591
1734	-1150.823	-1306.168	155.3449	1.829249	0.9057771	1.17007	9.233399
1740	-1148.656	-1298.47	149.8143	1.956744	0.6869155	0.8569882	12.34141
1746	-1145.048	-1293.833	148.7851	1.995305	0.9370958	1.034984	12.63885
1752	-1142.99	-1291.839	148.8488	1.896923	1.005306	0.9287513	12.67667
1758	-1157.273	-1313.614	156.341	1.65095	0.771762	0.7878883	9.071015
1764	-1149.534	-1305.965	156.431	1.65095	0.771762	0.8437393	8.994526
1770	-1155.999	-1312.493	156.494	1.6466	0.7209258	1.010602	8.901012
1776	-1156.973	-1313.086	156.1126	1.50248	1.144112	1.119041	8.901012
1782	-1151.789	-1303.839	152.0498	1.810539	0.8810616	0.6894602	11.23679
1788	-1141.508	-1291.696	150.1887	1.985564	0.855069	1.13854	11.90098
1794	-1129.917	-1280.228	150.3114	1.985564	0.8693462	1.13854	11.82953
1800	-1135.138	-1288.048	152.9105	1.867099	0.6174548	0.8319337	10.81484
1806	-1147.198	-1300.594	153.3959	1.937611	0.6316697	1.011272	10.42327
1812	-1164.063	-1319.432	155.3699	1.593076	0.9443391	1.039332	9.393383
1818	-1167.412	-1321.716	154.3043	1.71976	0.9695393	0.8674344	9.965524
