scenario,modelID,gridTag,tree_length,gain_loss,n_char,part_rate,median_cid,iqr_cid,n_reps
mk,M5,tl1.00_gl1.00_c50,1,1,50,NA,0.38548755829717973,0.05267503657283534,10
mk,M12,tl1.00_gl1.00_c50,1,1,50,NA,0.38045168720171996,0.04927417355559072,10
mk,M3,tl1.00_gl1.00_c50,1,1,50,NA,0.38697677244093825,0.04845988898040565,10
mk,M9,tl1.00_gl1.00_c50,1,1,50,NA,0.38823894752735605,0.050523634784991944,10
mk,M8 (NT baseline),tl1.00_gl1.00_c50,1,1,50,NA,0.3865788320441381,0.049590778455673334,10
mk,M4,tl1.00_gl1.00_c50,1,1,50,NA,0.3854376681885849,0.05195064849731701,10
mk,M7,tl1.00_gl1.00_c50,1,1,50,NA,0.38996827345409035,0.052341571877588144,10
mk,M10,tl1.00_gl1.00_c50,1,1,50,NA,0.3866148534299437,0.0503681495264241,10
mk,M6,tl1.00_gl1.00_c50,1,1,50,NA,0.38990550425420667,0.05021282120999171,10
mk,M1 (Mk baseline),tl1.00_gl1.00_c50,1,1,50,NA,0.3865815932343553,0.04928227583083922,10
mk,M11,tl1.00_gl1.00_c50,1,1,50,NA,0.35398437677147276,0.05600082431619663,10
mk,M2,tl1.50_gl0.10_c100,1.5,0.1,100,NA,0.2660626736427845,0.03379835281899313,10
mk,M3,tl1.50_gl0.10_c100,1.5,0.1,100,NA,0.2651765042104108,0.03176325449253803,10
mk,M6,tl1.50_gl0.10_c100,1.5,0.1,100,NA,0.26926596640752654,0.030830361185228028,10
mk,M4,tl1.50_gl0.10_c100,1.5,0.1,100,NA,0.2670539664856115,0.031742573922678874,10
mk,M11,tl1.50_gl0.10_c100,1.5,0.1,100,NA,0.25463160221784376,0.0225709093638011,10
mk,M9,tl1.50_gl0.10_c100,1.5,0.1,100,NA,0.2667778231375161,0.03584038478197443,10
mk,M1 (Mk baseline),tl1.50_gl0.10_c100,1.5,0.1,100,NA,0.2670777849220016,0.030199772796643543,10
mk,M7,tl1.50_gl0.10_c100,1.5,0.1,100,NA,0.2703124721715688,0.0341051022695934,10
mk,M5,tl1.50_gl0.10_c100,1.5,0.1,100,NA,0.2683007083493355,0.03211930139070451,10
mk,M12,tl1.50_gl0.10_c100,1.5,0.1,100,NA,0.2645627930989707,0.029833884800190502,10
mk,M8 (NT baseline),tl1.50_gl0.10_c100,1.5,0.1,100,NA,0.2668643725663311,0.032489771271030365,10
mk,M10,tl1.50_gl0.10_c100,1.5,0.1,100,NA,0.2705338969061399,0.03451286045062579,10
mk,M3,tl1.50_gl0.10_c200,1.5,0.1,200,NA,0.15965059879054705,0.03737687824917757,10
mk,M8 (NT baseline),tl1.50_gl0.10_c200,1.5,0.1,200,NA,0.16185046869073827,0.037281592035343175,10
mk,M6,tl1.50_gl0.10_c200,1.5,0.1,200,NA,0.1617513417075287,0.035666178109812124,10
mk,M7,tl1.50_gl0.10_c200,1.5,0.1,200,NA,0.1608240439421873,0.028541517511185888,9
mk,M11,tl1.50_gl0.10_c200,1.5,0.1,200,NA,0.13336383765328835,0.04950455776561921,10
mk,M2,tl1.50_gl0.10_c200,1.5,0.1,200,NA,0.16055807912693304,0.03984372650046225,10
mk,M9,tl1.50_gl0.10_c200,1.5,0.1,200,NA,0.16215027905165583,0.03539515414157515,10
mk,M4,tl1.50_gl0.10_c200,1.5,0.1,200,NA,0.15838332754232082,0.038673158899856036,10
mk,M5,tl1.50_gl0.10_c200,1.5,0.1,200,NA,0.16047292706998229,0.03742925936607605,10
