Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	tree_length
1344	-668.9591	-839.4503	170.4911	0.3656305	1.242792	1.381347	0.9307192
1350	-657.4818	-828.4037	170.9219	0.2789056	1.046981	0.9570899	1.191231
1356	-664.7979	-835.3443	170.5464	1.15481	0.8777681	0.8846027	0.9469392
1362	-675.8898	-845.1855	169.2957	2.032965	1.057504	0.9481696	1.075373
1368	-667.8561	-838.5497	170.6936	0.2858819	1.109154	1.08458	1.218454
1374	-674.4981	-845.2477	170.7496	0.4006329	1.109154	0.9771295	1.163891
1380	-680.2197	-850.5695	170.3497	0.389141	1.29338	1.014391	1.325103
1386	-675.631	-846.4112	170.7802	0.2403245	0.8577211	1.171237	1.31989
1392	-688.0283	-858.4899	170.4616	0.3207029	1.493269	1.281151	0.8560454
1398	-669.9535	-841.289	171.3355	0.3596241	0.7666108	1.063439	0.8758073
1404	-674.1711	-844.1113	169.9402	1.862595	0.7147787	0.973818	0.9109727
1410	-668.2081	-839.2919	171.0838	0.6357425	0.5362881	1.18045	0.9394089
1416	-667.8309	-838.5365	170.7057	0.5307795	0.981994	1.18045	1.013378
1422	-664.5621	-835.5106	170.9485	0.2142865	0.9461064	1.133026	1.158957
1428	-678.9863	-849.2708	170.2845	0.6303331	1.234766	0.8146505	1.38922
1434	-677.9994	-848.9777	170.9783	0.4398289	0.7808839	1.356165	0.8405343
1440	-673.3333	-843.7354	170.4021	0.4898736	1.10739	1.460425	0.9514974
1446	-668.1268	-838.2418	170.115	0.7810379	1.602671	0.9345665	0.998802
1452	-665.5945	-836.526	170.9315	0.6443854	0.7940868	0.827539	1.195923
1458	-667.0394	-838.5638	171.5244	0.1418728	0.7940868	0.7371713	1.195923
1464	-667.8808	-838.9969	171.1162	0.06169445	0.7940868	1.340499	1.093833
1470	-673.9084	-842.9235	169.0151	1.671572	1.353334	1.448548	0.9258453
1476	-680.5702	-849.8207	169.2505	1.235149	1.353334	1.868461	0.5971298
1482	-684.7599	-854.5409	169.781	1.235149	1.195118	1.41861	0.7435568
1488	-678.2212	-848.9158	170.6946	1.01655	0.8391989	1.077739	0.7435568
1494	-674.8094	-845.571	170.7615	0.09427251	1.356025	1.032216	1.16158
1500	-678.985	-848.2996	169.3146	2.048739	0.9543546	0.8935166	1.185746
1506	-684.5345	-856.0764	171.5419	0.0007322605	0.4710824	1.324873	1.014131
1512	-683.6045	-854.5087	170.9042	0.002099313	0.9666293	1.469248	1.067967
1518	-690.1395	-860.9805	170.841	0.003148009	0.9242583	1.002906	1.534597
1524	-678.0895	-849.4104	171.3209	0.01689364	0.7518743	0.8986075	1.366273
1530	-668.9097	-840.078	171.1683	0.07970159	0.9020952	1.121656	1.132334
1536	-675.0243	-845.6422	170.6179	0.754828	0.8444511	0.764324	1.373834
1542	-668.3047	-837.5516	169.2468	1.917891	1.196125	0.9237709	1.12184
1548	-668.1973	-839.3124	171.1151	0.1038636	0.8227539	1.273265	1.092141
1554	-676.7583	-844.9979	168.2396	2.504807	0.7315188	0.8969663	1.815576
1560	-676.4055	-844.3035	167.8979	2.504807	0.6826063	0.8969663	2.076003
1566	-680.2314	-848.0726	167.8412	2.504807	0.8736151	0.9171712	1.97885
1572	-678.3896	-845.256	166.8664	2.504807	1.489888	1.141764	2.07579
1578	-687.9697	-856.5013	168.5316	2.504807	0.5993499	0.9583859	1.649441
1584	-695.4999	-863.9834	168.4835	2.169231	1.223944	0.7386955	1.649441
1590	-681.5269	-852.3705	170.8436	0.2608956	0.7880542	1.367932	1.140704
1596	-675.237	-846.0685	170.8315	0.2608956	0.8185141	1.367932	1.125008
1602	-674.8545	-845.5835	170.729	0.02001365	1.026186	1.189179	1.387859
1608	-680.966	-852.089	171.123	0.08635915	1.026186	1.173651	1.003173
1614	-669.8865	-841.2735	171.387	0.01854749	0.9320134	1.038334	1.03578
1620	-671.5739	-841.9773	170.4034	0.1135208	1.607496	1.271678	1.03578
1626	-682.4906	-852.5242	170.0337	0.2565541	1.852447	1.355876	0.9588078
1632	-676.0057	-846.145	170.1393	0.395134	1.993374	0.9645938	0.9854708
1638	-667.8449	-838.6986	170.8537	0.04195546	0.9778587	1.39492	1.135472
1644	-668.1539	-839.2796	171.1257	0.1486607	0.8634664	1.097499	1.164326
1650	-673.3762	-842.2119	168.8357	2.137394	0.8634664	1.214023	1.319113
1656	-674.0193	-842.667	168.6477	1.832922	1.708703	1.082755	1.158334
1662	-678.462	-848.7234	170.2614	1.163455	0.8760529	1.176759	0.9318324
1668	-675.5803	-846.6254	171.0451	0.5715661	0.8906357	0.848851	1.054478
1674	-659.7414	-830.1216	170.3802	0.6067736	0.8906357	0.941684	1.498694
1680	-667.2773	-837.5948	170.3175	0.2171642	1.573929	1.058033	1.23859
1686	-668.39	-839.131	170.7409	0.7062591	0.8573318	0.6677673	1.381208
1692	-677.5035	-848.3248	170.8213	0.5142855	0.8573318	1.135084	1.080657
1698	-662.3866	-833.3565	170.9698	0.2255228	1.090664	0.9631225	1.152717
1704	-665.2242	-836.3561	171.1318	0.3631393	1.000921	0.8525055	1.062099
1710	-667.3604	-837.3836	170.0232	0.6071581	1.616705	0.9465366	1.218765
1716	-670.8893	-841.7795	170.8902	0.3324806	1.188195	0.8329301	1.158141
1722	-672.9221	-843.3475	170.4253	1.320127	0.6745112	0.8098999	1.161432
1728	-678.6078	-848.8243	170.2165	0.2654978	1.679619	0.8098999	1.40299
1734	-673.5298	-844.3521	170.8223	0.07935079	1.048345	1.293585	1.157524
