Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
954	-1430.606	-1595.798	165.1925	0.926963	0.948258	0.6367744	0.8620722	0.6138239	0.5900284	4.46496
960	-1418.476	-1583.448	164.972	0.8555904	1.084794	0.6557388	0.6848713	0.6138239	0.8933703	4.470368
966	-1419.898	-1585.638	165.7395	0.8989202	0.9518963	0.6557388	0.6995849	0.5552601	0.4514325	4.362259
972	-1418.016	-1584.931	166.9153	1.025925	1.210761	0.6557388	0.5779281	0.5552601	0.367079	3.586656
978	-1415.88	-1581.766	165.8865	1.129492	1.017123	0.6557388	0.8111592	0.5552601	0.4900657	4.025934
984	-1419.331	-1583.707	164.3767	0.9153793	0.901274	0.6557388	1.099854	0.737709	0.7686399	4.641917
990	-1405.584	-1570.578	164.9934	0.9390854	0.9813301	0.6323249	1.065184	0.7094117	0.7613285	4.289006
996	-1397.689	-1563.599	165.9099	0.87465	1.044086	0.6323249	0.9597087	0.7094117	0.8156259	3.795956
1002	-1414.594	-1579.401	164.8075	0.7867636	1.058029	0.6323249	0.7814365	0.7481795	1.076839	4.395726
1008	-1406.986	-1570.407	163.4204	0.982341	0.9508528	0.8525219	0.7814365	0.8599051	0.9922835	4.985429
1014	-1406.877	-1570.501	163.6238	1.033302	0.9508528	0.9597216	0.8821417	0.6544022	0.7355899	4.985429
1020	-1409.836	-1573.326	163.4892	1.277751	0.9281564	0.7911344	0.7272293	0.7758024	0.8530584	4.985429
1026	-1425.527	-1588.261	162.7337	0.9835225	0.9281564	0.7911344	0.9033538	1.136686	0.7774461	5.309809
1032	-1423.84	-1587.14	163.3001	0.9835225	0.9342264	0.7911344	0.9033538	0.9792156	1.047935	4.929982
1038	-1426.438	-1588.636	162.1981	1.160466	0.8963438	0.7911344	1.256976	1.14718	0.9875379	5.208653
1044	-1422.069	-1584.617	162.5485	0.9331617	0.8069562	0.7911344	1.383629	1.570079	0.9875379	4.884548
1050	-1421.131	-1583.951	162.8201	0.9876831	1.030488	0.7911344	1.398039	1.188864	1.193102	4.667699
1056	-1415.216	-1579.362	164.1459	0.9711248	0.8995669	0.6159674	0.8909997	1.247466	1.089506	4.414217
1062	-1409.543	-1573.397	163.854	1.125227	0.9806465	0.8569218	0.8131558	1.247466	0.9833522	4.414217
1068	-1425.898	-1588.343	162.4457	1.056773	1.015598	1.092703	0.9065108	0.7881579	0.9272596	5.321584
1074	-1412.085	-1576.611	164.5261	1.350185	0.9572379	0.5975201	0.5260188	0.7722852	0.5915549	4.719917
1080	-1411.531	-1576.06	164.5295	0.9488114	0.8848534	0.5975201	0.6285965	0.5594084	0.7319068	4.962701
1086	-1420.961	-1585.845	164.8831	1.081212	0.8956358	0.5975201	0.6285965	0.5594084	0.7319068	4.685634
1092	-1433.88	-1598.947	165.0665	0.9943258	0.8982246	0.5975201	0.4489875	0.5967927	0.3948904	4.897812
1098	-1427.096	-1591.949	164.8534	0.9084992	0.8578675	0.5975201	0.5235705	0.6300586	0.355473	5.048309
1104	-1440.935	-1604.359	163.4235	0.9084992	0.8578675	0.5914417	0.8273285	0.5795147	0.5490386	5.594233
1110	-1436.962	-1601.483	164.521	0.8961103	0.8594052	0.5031469	0.6142442	0.5661033	0.4422265	5.227829
1116	-1426.997	-1592.126	165.1292	0.9900528	0.8594052	0.4882686	0.6208415	0.5661033	0.5209105	4.798828
1122	-1430.898	-1595.956	165.0581	1.241945	0.892399	0.4882686	0.4489376	0.5661033	0.5533122	4.758392
1128	-1431.214	-1597.481	166.2662	1.028595	1.032949	0.4882686	0.4265327	0.3404378	0.5216876	4.27624
1134	-1425.599	-1591.08	165.4804	1.142943	1.099232	0.4187903	0.6136305	0.4410119	0.5160963	4.498008
1140	-1417.564	-1582.976	165.4127	1.119822	0.9315961	0.3537169	0.4179283	0.5881088	0.5185218	4.70535
1146	-1420.33	-1586.874	166.5438	1.196136	1.218207	0.3537169	0.6116911	0.5178939	0.5393765	3.776552
1152	-1427.491	-1593.262	165.7711	1.24624	1.34857	0.4804421	0.715512	0.4465772	0.5487901	4.020036
1158	-1424.616	-1589.403	164.7873	1.601685	1.154695	0.4804421	0.5704293	0.8064826	0.5949608	4.34884
