Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
1140	-324.7736	-493.3888	168.6151	5.13613	1.176508	0.07003734	0.9855675	0.1959195	0.3826649	0.7726655
1146	-307.9933	-474.3648	166.3716	5.341573	1.933716	1.087766	0.8968607	0.4103224	0.1883583	1.215872
1152	-306.9368	-474.734	167.7971	4.049621	1.147889	0.226585	1.326994	0.3678973	1.072537	0.8806069
1158	-315.3105	-483.3323	168.0218	4.049621	0.8433583	0.1800869	2.226651	0.11342	0.4234553	1.018475
1164	-326.6316	-494.7665	168.1349	3.255555	0.9267827	0.2697298	2.226651	0.02165074	0.4751758	1.246111
1170	-329.5498	-495.2104	165.6606	5.443398	1.416624	0.5925203	2.226651	0.06402219	0.8415549	1.246111
1176	-319.6608	-486.0699	166.4092	6.462402	1.416624	0.3534845	0.2752198	0.04781803	2.098252	0.9965331
1182	-319.4	-486.1193	166.7193	3.501156	1.298787	0.2106994	0.7014326	0.3049965	3.237423	0.5055939
1188	-332.9029	-497.175	164.2722	6.13994	1.123634	0.7139165	0.3752273	0.4866805	4.061829	0.5945625
1194	-334.4115	-498.9277	164.5162	6.13994	1.393491	0.8133993	0.01975253	0.2024184	4.061829	0.6597642
1200	-330.1925	-497.2376	167.0451	6.36552	2.099477	0.1434827	0.1909106	0.3238098	1.103253	0.6574845
1206	-322.0815	-488.8757	166.7942	5.722475	2.253167	0.2912091	0.1909106	0.6161404	0.9907377	0.7706605
1212	-335.15	-500.0491	164.8991	5.37574	2.592216	0.9802454	1.60335	0.6390728	0.5142302	0.8703673
1218	-336.7794	-501.8731	165.0937	6.436509	1.705775	0.6556102	0.5140314	2.771746	0.1743543	0.510725
1224	-346.0468	-513.3853	167.3385	3.889835	1.663056	0.0157678	0.4041392	2.590388	0.2179503	0.510725
1230	-334.0899	-497.8243	163.7344	7.924669	2.25573	0.1766728	0.3328016	2.13158	1.49406	0.8548277
1236	-333.0449	-490.8424	157.7975	8.362842	3.356668	0.1969165	1.354267	1.872751	5.426249	0.7967155
1242	-319.7843	-487.5753	167.791	3.693298	1.330207	0.2328969	2.099566	0.2267415	0.4053513	0.9573809
1248	-323.1871	-488.7897	165.6027	3.659898	2.413879	0.419996	0.556092	0.7848516	1.998066	1.260467
1254	-322.7802	-487.5761	164.7959	3.284602	2.161836	2.126138	0.6324463	1.070586	1.373535	1.138455
1260	-335.716	-500.3782	164.6622	4.49455	1.813401	2.264218	0.4263039	1.442706	1.090413	0.8622219
1266	-319.2616	-485.1352	165.8737	4.255665	1.90099	0.2485893	0.03705333	2.448916	1.504656	0.4930135
1272	-322.8571	-493.6628	170.8057	2.731301	1.014202	0.2909348	0.09887189	0.618407	0.1187861	0.6836245
1278	-318.6462	-486.9723	168.3261	4.09069	1.14383	1.923746	0.03070895	0.07458399	0.299051	1.005126
1284	-319.8827	-485.4612	165.5785	5.065988	1.412974	2.72515	0.3442662	0.1206089	0.8736965	1.19341
1290	-314.4196	-480.9733	166.5538	2.722068	1.698748	1.620214	1.558264	0.7391577	0.4640036	1.065142
1296	-320.3068	-485.9342	165.6274	3.352472	1.20164	2.917145	1.142408	0.5470759	0.5969504	1.210652
1302	-332.803	-490.9328	158.1298	6.155326	2.118906	5.864772	1.334014	0.7333764	2.777084	0.7344637
1308	-324.6812	-488.3077	163.6264	5.061119	2.515228	0.3620487	2.378462	0.3706796	2.285439	0.6470879
1314	-325.3335	-492.6161	167.2826	4.957564	2.133328	0.1187057	0.301614	1.338313	0.3913827	0.6984888
1320	-327.1378	-493.423	166.2853	5.439672	2.695587	0.2112255	0.3478259	0.9203426	0.7416569	0.8639383
1326	-342.8545	-506.3553	163.5007	2.5247	3.372803	0.06537245	0.1544332	3.997772	1.944086	0.7875396
1332	-336.8245	-500.209	163.3845	6.85232	3.629968	0.05383049	0.4835627	2.234243	0.7869484	0.8401597
1338	-329.5986	-495.7487	166.1501	4.829748	2.373512	0.1676293	1.479897	0.6857091	0.7629453	0.7216585
1344	-313.3784	-479.0083	165.6299	7.869618	2.672769	0.91026	0.2970197	0.2418115	0.5563715	0.4270998
1350	-319.0513	-485.0729	166.0216	4.131968	2.426946	0.2270806	0.9963984	1.375363	0.7872446	0.9426094
1356	-323.0809	-488.9706	165.8897	5.043404	2.426946	0.2210716	0.7934713	1.801694	0.1997044	0.9426094
1362	-333.6534	-496.6237	162.9703	5.659224	2.058742	0.8009079	0.7934713	0.4510388	3.915212	0.9788204
1368	-334.4943	-503.1475	168.6533	3.934148	1.368751	0.214918	0.437939	0.2563386	1.149704	0.7896174
1374	-317.3847	-487.5521	170.1674	2.218181	1.392285	0.4845384	0.09230552	0.662427	0.3622659	0.9259786
1380	-319.7841	-485.5144	165.7303	3.520196	1.731564	2.05753	0.02494694	0.2496827	2.321705	1.037258
1386	-314.1922	-480.9588	166.7666	4.549895	1.731564	0.08982227	0.03892094	0.4831062	2.321705	1.104383
1392	-314.2319	-480.5983	166.3664	4.457536	2.392613	0.2891559	0.110759	0.1788308	2.321705	0.93063
1398	-312.3978	-482.82	170.4222	3.560613	1.460155	0.03730434	0.3313938	0.006603024	0.1177267	0.692419
1404	-316.7702	-489.022	172.2519	1.229694	1.460155	0.007552509	0.4208649	0.02462771	0.09828938	0.4077125
1410	-322.3746	-490.5772	168.2026	4.851175	1.400874	0.0498346	0.3369709	0.01932727	1.645119	0.6327648
1416	-324.9695	-492.9344	167.9649	4.851175	1.528473	0.06794415	0.3367285	0.05732924	1.705021	0.6186032
