Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
1590	-1729.612	-1896.619	167.0072	0.08987121	1.994206	0.9289675	3.842502	0.4611565
1596	-1725.909	-1891.05	165.1409	0.07810611	4.33144	1.100358	3.928954	0.4273248
1602	-1722.221	-1888.993	166.7722	0.08288885	2.186069	0.9164133	3.928954	0.4273248
1608	-1728.733	-1894.226	165.4925	0.09016217	3.835209	1.003721	3.928954	0.3756777
1614	-1720.652	-1885.717	165.065	0.09016217	4.276353	1.147166	3.952267	0.3756777
1620	-1719.561	-1885.47	165.9087	0.1067635	3.236031	0.9315969	3.934376	0.3521015
1626	-1718.594	-1884.33	165.7353	0.08983799	3.258179	0.9033295	4.166559	0.3939163
1632	-1713.334	-1879.03	165.6964	0.08983799	3.263285	0.8956517	4.166559	0.3360902
1638	-1718.931	-1884.278	165.347	0.09713007	3.468586	1.018735	4.233006	0.3192408
1644	-1717.381	-1882.886	165.5055	0.1585043	3.869574	1.018735	3.751162	0.3102407
1650	-1719.624	-1884.446	164.8222	0.16515	4.72874	1.046638	3.907998	0.3102407
1656	-1717.864	-1883.148	165.2838	0.1657908	3.804599	1.046638	3.993542	0.3243013
1662	-1726.172	-1891.228	165.0557	0.1336797	4.880686	0.9084598	3.75173	0.3016298
1668	-1713.787	-1878.876	165.0893	0.2497199	3.974931	0.9056079	4.112355	0.2999084
1674	-1726.295	-1889.532	163.2375	0.09509423	6.383739	1.126892	4.658177	0.2999084
1680	-1722.217	-1886.951	164.7348	0.09509423	4.736592	0.8088756	4.32518	0.3354814
1686	-1708.257	-1872.938	164.6801	0.09509423	3.886483	0.8088756	4.832177	0.3055932
1692	-1710.014	-1873.812	163.7981	0.09509423	4.46379	0.9848274	5.19398	0.2982045
1698	-1718.691	-1884.886	166.1955	0.1162332	2.472515	0.7936477	4.320601	0.3492094
1704	-1724.61	-1889.779	165.1689	0.1162332	4.070722	0.9858478	4.05555	0.3215147
1710	-1722.869	-1886.083	163.2135	1.726715	3.330811	0.7794322	5.143268	0.4401105
1716	-1727.979	-1888.718	160.7397	3.256223	3.330811	0.7794322	6.092406	0.4621988
1722	-1726.806	-1889.76	162.9538	3.041094	3.807897	0.6852727	3.861314	0.6055076
1728	-1727.582	-1890.81	163.2275	3.041094	4.121714	0.6852727	3.396625	0.6134219
1734	-1721.281	-1885.87	164.5884	2.7744	2.238158	0.7455989	3.487784	0.7109789
1740	-1720.527	-1881.719	161.192	6.008592	2.359085	1.043053	3.26015	0.7109789
1746	-1716.306	-1879.26	162.9542	3.735924	3.047659	0.8348561	3.487224	0.6786206
1752	-1714.82	-1879.567	164.7472	2.621511	2.065593	0.6766512	3.691961	0.7031664
