gridTag,tree_length,gain_loss,n_char,mean_mse_tree_len
tl1.00_gl0.50_c100,1,0.5,100,0.058020819379688636
tl1.00_gl0.25_c100,1,0.25,100,0.057993472333416556
tl1.00_gl0.10_c100,1,0.1,100,0.0579912265787773
tl1.00_gl1.00_c100,1,1,100,0.05799110885769363
tl1.50_gl0.50_c200,1.5,0.5,200,0.04519817176823018
tl1.50_gl0.25_c200,1.5,0.25,200,0.04353225865590711
tl1.50_gl1.00_c200,1.5,1,200,0.043409974572149984
tl1.50_gl0.10_c200,1.5,0.1,200,0.042878273920563835
tl1.00_gl0.10_c200,1,0.1,200,0.018811452785016884
tl1.00_gl1.00_c200,1,1,200,0.018022303090240357
tl1.00_gl0.50_c200,1,0.5,200,0.01785142029778535
tl1.00_gl0.25_c200,1,0.25,200,0.017581437477157725
