Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
2250	-392.6899	-562.918	170.2281	1.335828	2.300146
2256	-376.0004	-547.1173	171.1169	0.4862941	2.275037
2262	-377.48	-548.5396	171.0597	0.7507271	2.1411
2268	-372.1484	-543.161	171.0127	0.8186018	2.127484
2274	-381.4292	-551.8235	170.3943	1.819263	1.872473
2280	-369.9734	-541.7605	171.787	0.05882284	2.11794
2286	-365.8762	-536.3095	170.4334	0.09178521	2.942734
2292	-356.8022	-528.8313	172.0291	0.07750731	1.944955
2298	-366.6296	-536.9439	170.3143	0.3569481	2.854479
2304	-369.3117	-540.7703	171.4586	0.3828153	2.120854
2310	-378.0803	-549.2084	171.1281	0.8979758	1.998884
2316	-389.7175	-559.8031	170.0856	0.7467365	2.756426
2322	-386.0219	-557.5198	171.4979	0.04961494	2.310636
2328	-371.9525	-543.1154	171.1629	0.2912426	2.370005
2334	-379.5434	-549.6569	170.1135	0.8571023	2.671672
2340	-378.2106	-549.3897	171.1791	0.215187	2.407855
2346	-367.8245	-538.7633	170.9388	0.275005	2.521077
2352	-364.3021	-535.2875	170.9853	0.2284662	2.521077
2358	-373.9059	-545.0303	171.1244	0.5063712	2.25736
2364	-371.6118	-541.455	169.8432	0.62315	2.978123
2370	-363.238	-534.7375	171.4996	0.1134666	2.268744
2376	-379.1567	-549.9618	170.8051	0.8081489	2.268579
2382	-377.7878	-549.4898	171.702	0.3785955	1.962428
2388	-373.8262	-543.4257	169.5995	2.207961	2.143037
2394	-382.0359	-553.2011	171.1653	0.6830264	2.116338
2400	-385.7516	-556.8049	171.0533	0.6830264	2.189285
2406	-382.674	-551.6033	168.9293	2.230416	2.554735
2412	-383.342	-551.9382	168.5962	2.230416	2.759933
2418	-383.2625	-552.9972	169.7347	0.5205055	3.104463
2424	-372.2272	-542.8412	170.6139	0.5610592	2.545252
2430	-368.9491	-540.5001	171.551	0.7689315	1.799408
2436	-377.028	-547.1618	170.1338	0.9054599	2.629406
2442	-376.0508	-547.2688	171.218	0.6142541	2.126818
2448	-383.6225	-554.6556	171.0331	0.1072544	2.566786
2454	-371.0336	-541.7199	170.6863	0.8416018	2.323125
2460	-378.7664	-550.3485	171.582	0.1370643	2.20041
2466	-381.8764	-551.599	169.7226	1.996585	2.20036
2472	-383.4864	-554.5763	171.0899	0.6556635	2.183282
2478	-372.5425	-543.9396	171.3972	0.1957009	2.281666
2484	-376.537	-547.6096	171.0726	0.5202936	2.281666
2490	-370.7452	-542.0218	171.2767	1.070677	1.780378
2496	-377.0433	-548.9688	171.9256	0.4422448	1.766122
2502	-381.0194	-552.4101	171.3907	0.6868235	1.964468
2508	-386.9815	-557.566	170.5845	0.4871077	2.609404
2514	-385.6072	-556.1608	170.5536	0.6250481	2.543006
2520	-369.9046	-540.9379	171.0333	0.3565932	2.410654
2526	-387.743	-558.7763	171.0333	0.3565932	2.410654
2532	-384.4362	-553.9845	169.5482	1.898946	2.374435
2538	-382.3098	-553.6354	171.3257	0.5254447	2.11449
2544	-372.7284	-544.0163	171.2879	0.5632493	2.11449
2550	-388.4107	-559.7562	171.3455	0.4147976	2.173692
2556	-388.3824	-559.3911	171.0087	0.5634514	2.294907
2562	-384.5445	-555.1944	170.6499	0.9223088	2.294907
2568	-385.4492	-555.5686	170.1194	0.3839672	2.955851
2574	-395.4375	-567.0217	171.5842	0.05338313	2.25296
2580	-393.4744	-564.1442	170.6699	0.8682372	2.316652
2586	-389.8722	-560.7388	170.8666	0.1367921	2.65153
2592	-392.5058	-563.2813	170.7754	0.0138848	2.782698
2598	-385.5272	-557.1986	171.6714	0.322517	2.020315
2604	-379.2761	-550.5491	171.273	0.5223648	2.150876
2610	-369.658	-540.8695	171.2114	0.3105447	2.326916
2616	-387.6629	-559.0808	171.4179	0.2137378	2.256793
2622	-388.4366	-559.9211	171.4845	0.2537343	2.188035
