Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
2490	-2890.037	-3057.506	167.4689	0.09534052	4.65218
2496	-2885.862	-3053.161	167.2994	0.4009351	4.5759
2502	-2892.482	-3059.736	167.2543	0.1130157	4.762379
2508	-2884.672	-3052.467	167.7956	0.0232182	4.50933
2514	-2886.139	-3054.12	167.9805	0.001396535	4.417484
2520	-2889.051	-3057.008	167.9569	0.02497531	4.417484
2526	-2882.753	-3050.822	168.0689	0.01330848	4.36085
2532	-2884.937	-3052.903	167.9662	0.3555873	4.225273
2538	-2882.74	-3050.402	167.6615	0.3555873	4.397658
2544	-2874.755	-3042.386	167.6308	0.1955947	4.505064
2550	-2876.89	-3044.429	167.5389	0.2012789	4.553513
2556	-2887.352	-3054.933	167.5805	0.2346081	4.51137
2562	-2882.323	-3050.037	167.7148	0.1250575	4.497444
2568	-2897.523	-3065.055	167.5322	0.3854995	4.453626
2574	-2894.091	-3062.197	168.1061	0.2416465	4.210543
2580	-2892.349	-3060.647	168.2978	0.1233772	4.168901
2586	-2889.697	-3057.348	167.6508	0.1831678	4.50077
2592	-2888.723	-3056.261	167.5385	0.2955063	4.50077
2598	-2888.799	-3056.476	167.6768	0.2955063	4.422858
2604	-2889.417	-3057.746	168.3293	0.08170214	4.17465
2610	-2890.517	-3057.806	167.2892	0.1725627	4.709552
2616	-2890.118	-3057.402	167.284	0.2816384	4.651382
2622	-2898.202	-3065.415	167.2132	0.3859428	4.632632
2628	-2892.568	-3060.519	167.9512	0.3138752	4.257452
2634	-2879.446	-3046.868	167.4219	0.1573399	4.643759
2640	-2875.918	-3043.271	167.3533	0.1375467	4.693263
2646	-2881.955	-3049.394	167.4383	0.05261765	4.693263
2652	-2882.916	-3050.62	167.7046	0.262261	4.425945
2658	-2886.113	-3053.867	167.7546	0.3372719	4.355411
2664	-2895.185	-3062.835	167.6507	0.07675911	4.560638
2670	-2897.154	-3064.719	167.5655	0.02841239	4.635543
2676	-2890.984	-3058.614	167.6305	0.4109794	4.383893
2682	-2888.04	-3055.444	167.4047	0.1284828	4.669612
2688	-2889.125	-3056.773	167.6481	0.07605177	4.562483
2694	-2880.279	-3048.245	167.9658	0.04414567	4.401655
2700	-2888.474	-3056.617	168.143	0.2336545	4.194146
2706	-2881.868	-3049.559	167.6911	0.1875423	4.475666
2712	-2880.747	-3048.682	167.9353	0.2237095	4.317486
2718	-2884.394	-3051.413	167.0197	0.189762	4.850442
