Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
774	-636.6447	-800.9648	164.3201	0.1117456	0.531206	1.078041	1.179077	0.538286	0.461714	0.353781	0.646219	4.435596
780	-647.3851	-812.9586	165.5735	0.3411198	0.625378	0.7062292	1.439989	0.538286	0.461714	0.353781	0.646219	3.606268
786	-642.2974	-807.5616	165.2642	0.2908683	0.4795145	0.827864	1.26841	0.485813	0.514187	0.422283	0.577717	3.886404
792	-631.4427	-794.7111	163.2684	0.2952782	0.7908109	0.7690169	1.242628	0.642856	0.357144	0.625492	0.374508	4.946514
798	-645.3236	-809.2757	163.9521	0.2983877	0.729147	0.7795832	0.9979742	0.528339	0.471661	0.465835	0.534165	4.687292
804	-647.6891	-811.8418	164.1527	0.3396089	0.5212486	1.122702	0.9217595	0.72438	0.27562	0.605236	0.394764	4.574288
810	-634.5557	-797.2868	162.7311	0.1694794	1.142452	0.8822164	0.8632536	0.62913	0.37087	0.545917	0.454083	5.249334
816	-639.3911	-803.5836	164.1925	0.04231543	1.081299	0.7417691	1.059467	0.6367	0.3633	0.476679	0.523321	4.507255
822	-646.9495	-811.02	164.0706	0.1092115	0.99582	0.781039	1.074006	0.677253	0.322747	0.516191	0.483809	4.572474
828	-635.9257	-799.7463	163.8206	0.06226692	0.774864	0.8932641	1.074006	0.65468	0.34532	0.33366	0.66634	4.822307
834	-647.3064	-811.1351	163.8287	0.06311962	0.8036468	0.8524759	1.200941	0.778801	0.221199	0.317445	0.682555	4.83651
840	-629.7722	-793.662	163.8898	0.07576378	0.8793195	0.9427849	1.137746	0.565988	0.434012	0.524455	0.475545	4.60028
846	-640.279	-804.5341	164.2551	0.09640348	0.8643523	0.9266149	1.095592	0.45605	0.54395	0.524455	0.475545	4.421598
852	-620.4919	-784.5049	164.013	0.2352207	0.8643523	0.8541785	1.095999	0.592743	0.407257	0.481198	0.518802	4.527373
858	-624.3257	-788.9769	164.6512	0.2352207	0.4620325	0.8541785	1.106941	0.49488	0.50512	0.379544	0.620456	4.359187
864	-641.0331	-805.6851	164.652	0.350671	0.4855584	0.8440919	1.412094	0.49488	0.50512	0.457574	0.542426	4.103843
870	-647.2259	-811.3608	164.135	0.1437022	0.554367	0.7877336	1.170541	0.548284	0.451716	0.791993	0.208007	4.771487
876	-647.2664	-812.2041	164.9377	0.2996166	0.554367	0.8326658	1.090196	0.528815	0.471185	0.601825	0.398175	4.144865
882	-658.4959	-823.2682	164.7722	0.2548787	0.5539541	0.7678667	1.470902	0.407452	0.592548	0.565305	0.434695	4.085607
